CARRIER,DEP_TIME,DEST,FL_DATE,FL_NUM,ORIGIN,Weather,TAIL_NUM,Flight Status
OH,1455,JFK,01/01/2004,5935,BWI,0,N940CA,ontime
DH,1640,JFK,01/01/2004,6155,DCA,0,N405FJ,ontime
DH,1245,LGA,01/01/2004,7208,IAD,0,N695BR,ontime
DH,1709,LGA,01/01/2004,7215,IAD,0,N662BR,ontime
DH,1035,LGA,01/01/2004,7792,IAD,0,N698BR,ontime
DH,839,JFK,01/01/2004,7800,IAD,0,N687BR,ontime
DH,1243,JFK,01/01/2004,7806,IAD,0,N321UE,ontime
DH,1644,JFK,01/01/2004,7810,IAD,0,N301UE,ontime
DH,1710,JFK,01/01/2004,7812,IAD,0,N328UE,ontime
DH,2129,JFK,01/01/2004,7814,IAD,0,N685BR,ontime
DH,2114,LGA,01/01/2004,7924,IAD,0,N645BR,ontime
DL,1458,JFK,01/01/2004,746,DCA,0,N918DE,ontime
DL,932,LGA,01/01/2004,1746,DCA,0,N242DL,ontime
DL,1228,LGA,01/01/2004,1752,DCA,0,N241DL,ontime
DL,1429,LGA,01/01/2004,1756,DCA,0,N242DL,ontime
DL,1728,LGA,01/01/2004,1762,DCA,0,N241DL,ontime
DL,2029,LGA,01/01/2004,1768,DCA,0,N242DL,ontime
MQ,1525,JFK,01/01/2004,4752,DCA,0,N709MQ,ontime
MQ,556,JFK,01/01/2004,4760,DCA,0,N717MQ,ontime
MQ,1822,JFK,01/01/2004,4784,DCA,0,N707MQ,ontime
MQ,853,LGA,01/01/2004,4956,DCA,0,N737MQ,ontime
MQ,1254,LGA,01/01/2004,4964,DCA,0,N717MQ,ontime
MQ,1356,LGA,01/01/2004,4966,DCA,0,N726MQ,ontime
MQ,1452,LGA,01/01/2004,4968,DCA,0,N724MQ,ontime
MQ,1853,LGA,01/01/2004,4976,DCA,0,N724MQ,ontime
UA,841,LGA,01/01/2004,846,IAD,0,N513UA,ontime
US,858,LGA,01/01/2004,2164,DCA,0,N709UW,ontime
US,1056,LGA,01/01/2004,2168,DCA,0,N748UW,ontime
US,1253,LGA,01/01/2004,2172,DCA,0,N709UW,ontime
US,1458,LGA,01/01/2004,2176,DCA,0,N748UW,ontime
US,1655,LGA,01/01/2004,2180,DCA,0,N709UW,ontime
US,2055,LGA,01/01/2004,2188,DCA,0,N709UW,ontime
RU,1452,EWR,01/01/2004,2403,BWI,0,N14916,ontime
RU,1710,EWR,01/01/2004,2675,BWI,0,N16954,ontime
RU,1030,EWR,01/01/2004,2303,BWI,0,N26549,ontime
RU,656,EWR,01/01/2004,2703,BWI,0,N16954,ontime
CO,1256,EWR,01/01/2004,808,DCA,0,N18611,ontime
CO,1726,EWR,01/01/2004,814,DCA,0,N19357,ontime
DH,840,EWR,01/01/2004,7299,IAD,0,N691BR,ontime
DH,1704,EWR,01/01/2004,7302,IAD,0,N691BR,ontime
DH,1245,EWR,01/01/2004,7303,IAD,0,N697BR,ontime
DH,2118,EWR,01/01/2004,7304,IAD,0,N699BR,ontime
RU,1651,EWR,01/01/2004,2497,IAD,0,N12540,ontime
RU,1850,EWR,01/01/2004,2385,IAD,0,N16149,ontime
RU,1521,EWR,01/01/2004,2261,DCA,0,N12564,ontime
RU,1855,EWR,01/01/2004,2336,DCA,0,N21537,ontime
RU,1357,EWR,01/01/2004,2216,DCA,0,N15983,ontime
RU,1508,EWR,01/01/2004,2156,IAD,0,N16149,ontime
RU,1255,EWR,01/01/2004,2664,IAD,0,N12519,ontime
RU,1625,EWR,01/01/2004,2181,DCA,0,N19966,ontime
OH,1455,JFK,01/02/2004,5935,BWI,0,N995CA,ontime
DH,1641,JFK,01/02/2004,6155,DCA,0,N415FJ,ontime
DH,1249,LGA,01/02/2004,7208,IAD,0,N688BR,ontime
DH,1531,LGA,01/02/2004,7211,IAD,0,N665BR,delayed
DH,1712,LGA,01/02/2004,7215,IAD,0,N639BR,ontime
DH,645,LGA,01/02/2004,7790,IAD,0,N686BR,ontime
DH,1236,LGA,01/02/2004,7792,IAD,0,N665BR,delayed
DH,859,JFK,01/02/2004,7800,IAD,0,N645BR,ontime
DH,1232,JFK,01/02/2004,7806,IAD,0,N332UE,ontime
DH,1455,JFK,01/02/2004,7808,IAD,0,N324UE,ontime
DH,1645,JFK,01/02/2004,7810,IAD,0,N305UE,ontime
DH,1716,JFK,01/02/2004,7812,IAD,0,N322UE,ontime
DH,2305,JFK,01/02/2004,7814,IAD,0,N657BR,delayed
DH,1605,JFK,01/02/2004,7816,IAD,0,N315UE,ontime
DH,2118,LGA,01/02/2004,7924,IAD,0,N709BR,ontime
DL,1458,JFK,01/02/2004,746,DCA,0,N964DL,ontime
DL,930,LGA,01/02/2004,1746,DCA,0,N241DL,ontime
DL,1230,LGA,01/02/2004,1752,DCA,0,N225DL,ontime
DL,1427,LGA,01/02/2004,1756,DCA,0,N241DL,ontime
DL,1730,LGA,01/02/2004,1762,DCA,0,N225DL,ontime
DL,2028,LGA,01/02/2004,1768,DCA,0,N241DL,ontime
MQ,1522,JFK,01/02/2004,4752,DCA,0,N720MQ,ontime
MQ,552,JFK,01/02/2004,4760,DCA,0,N736MQ,ontime
MQ,1847,JFK,01/02/2004,4784,DCA,0,N727MQ,ontime
MQ,852,LGA,01/02/2004,4956,DCA,0,N713MQ,ontime
MQ,1053,LGA,01/02/2004,4960,DCA,0,N708MQ,ontime
MQ,1258,LGA,01/02/2004,4964,DCA,0,N713MQ,ontime
MQ,1402,LGA,01/02/2004,4966,DCA,0,N718MQ,ontime
MQ,1456,LGA,01/02/2004,4968,DCA,0,N708MQ,ontime
UA,850,LGA,01/02/2004,846,IAD,0,N556UA,ontime
US,657,LGA,01/02/2004,2160,DCA,0,N710UW,ontime
US,857,LGA,01/02/2004,2164,DCA,0,N736UW,ontime
US,1058,LGA,01/02/2004,2168,DCA,0,N710UW,ontime
US,1258,LGA,01/02/2004,2172,DCA,0,N736UW,ontime
US,1458,LGA,01/02/2004,2176,DCA,0,N710UW,ontime
US,1655,LGA,01/02/2004,2180,DCA,0,N736UW,ontime
US,1855,LGA,01/02/2004,2184,DCA,0,N710UW,ontime
US,2056,LGA,01/02/2004,2188,DCA,0,N736UW,ontime
RU,1715,EWR,01/02/2004,2675,BWI,0,N19966,ontime
RU,1030,EWR,01/02/2004,2303,BWI,0,N12540,ontime
RU,656,EWR,01/02/2004,2703,BWI,0,N16961,ontime
RU,1456,EWR,01/02/2004,2403,BWI,0,N12946,ontime
CO,1727,EWR,01/02/2004,814,DCA,0,N14342,ontime
CO,1301,EWR,01/02/2004,808,DCA,0,N14664,ontime
CO,754,EWR,01/02/2004,806,DCA,0,N11641,ontime
DH,837,EWR,01/02/2004,7299,IAD,0,N679BR,ontime
DH,1350,EWR,01/02/2004,7303,IAD,0,N686BR,delayed
DH,1512,EWR,01/02/2004,7307,IAD,0,N309UE,delayed
DH,629,EWR,01/02/2004,7371,IAD,0,N312UE,ontime
RU,1625,EWR,01/02/2004,2181,DCA,0,N14977,ontime
RU,655,EWR,01/02/2004,2855,IAD,0,N13990,ontime
RU,858,EWR,01/02/2004,2582,DCA,0,N14907,ontime
