Landing Weight (kg),Fuel Flow (kg/h)
146167,4700
148500,4800
150333,4700
159000,5100
159333,5325
159667,5025
160167,5300
160333,5050
160583,5250
160833,5225
161167,5075
161667,5237.5
162583,5087.5
162833,5125
164167,5150
164500,5400
165000,5375
165000,5150
165333,5375
165333,5075
166000,5350
166583,5087.5
166750,5375
167167,5500
168917,5575
169250,5350
169500,5650
169667,5675
170000,5562.5
170167,5662.5
170667,5550
170750,5655
170833,5375
170833,5652.5
170917,5375
173167,5662.5
175000,5550
