Year,MSHA ID,Mine Name,Mine State,Mine County,MineBasin,Mine Status,MineType,Company Type,OperationType,Operating Company,Operating Company Address,Union Code,Production,AverageEmployees,LaborHours
2011,103381,Tacoa Highwall Miner,Alabama,Bibb,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Tacoa Minerals,llc","1669 Mission Hills Road, Alabaster, AL 35007",,168399,23,63849
2011,103404,Reid School Mine,Alabama,Blount,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Taft Coal Sales & Associates,","3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",,245081,36,119754
2011,100759,North River #1 Underground Min,Alabama,Fayette,Appalachia,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Jim Walter Resources Inc,"3000 Riverchase Galleria, Birmingham, AL 35244",United Mine Workers of America,2707383,379,882440
2011,103374,Meredyth Mine,Alabama,Franklin,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,116900,24,58985
2011,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",UNIT,526267,484,1173014
2011,102354,Lindbergh,Alabama,Jefferson,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35502",,258305,43,112788
2011,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,1760870,618,1406905
2011,103180,Sloan Mountain Mine,Alabama,Jefferson,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,284040,64,137496
2011,103182,Fishtrap,Alabama,Jefferson,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,C&h Mining,"3699 Industrial Parkway, Jasper, AL 35501",,118423,34,88733
2011,103285,Narley Mine,Alabama,Jefferson,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"2600 Warrior Jasper Rd, Warrior, AL 35180",,110361,25,57845
2011,103393,Buttahatchee Mine No 1,Alabama,Marion,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,119240,21,47030
2011,103417,Yeshic Mine,Alabama,Shelby,Appalachia,Active,Surface,Operating Subsidiary,Mine only,"Yeshic, Llc","74 Industrial Parkway, Jasper, AL 35501",,256824,40,103522
2011,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",United Mine Workers of America,2122806,605,1461166
2011,101401,No 7 Mine,Alabama,Tuscaloosa,Appalachia,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",United Mine Workers of America,3610246,896,2232845
2011,103172,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,382887,83,223286
2011,103179,Fleetwood Mine No 1,Alabama,Tuscaloosa,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,115915,19,54383
2011,103196,East Brookwood Mine,Alabama,Tuscaloosa,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Tuscaloosa Resources Inc,"3000 Riverchase Galleria, Ste, Birmingham, AL 35244",,102408,46,98495
2011,103303,Shannon Mine,Alabama,Tuscaloosa,Appalachia,Active,Surface,Operating Subsidiary,Mine only,"Shannon, Llc","74 Industrial Parkway, Jasper, AL 35501",,1515972,206,533645
2011,103390,Highway 59 Mine No. 1,Alabama,Tuscaloosa,Appalachia,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,"Tuscaloosa Resources, Inc","3000 Riverchase Galleria, Ste, Birmingham, AL 35244",,208655,33,74311
2011,103436,Swann's Crossing,Alabama,Tuscaloosa,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Tuscaloosa Resources, Inc.","3000 Riverchase Galleria, Ste, Birmingham, AL 35244",,204381,61,147260
2011,100347,Choctaw Mine,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",,603409,101,313790
2011,101362,Manchester Mine,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,180371,39,112641
2011,102996,Jap Creek Mine,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy/P.O. Box, Jasper, AL 35502",,294122,42,121077
2011,103337,Gooden Creek,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242",,134739,17,44390
2011,103342,Reese's Branch Mine,Alabama,Walker,Appalachia,Active,Surface,Contractor,Mine only,"Cedar Lake Mining, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,603013,59,127998
2011,103370,Cresent Valley Mine,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,National Coal Of Alabama Inc,"1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,121786,17,42582
2011,103376,Town Creek,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Reed Minerals Inc,"3699 Industrial Parkway, Jasper, AL 35501",,285796,44,129501
2011,103398,Kansas Mine,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,142764,30,54137
2011,103410,Coal Valley Mine,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Xinergy Of Alabama, Inc.","2600 Warrior Jasper Rd, Warrior, AL 35180",,171689,41,58040
2011,103423,Dutton Hill Mine,Alabama,Walker,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal Company, Inc.","17405 Hwy 69 S, Jasper, AL 35501",,112044,20,45020
2011,103321,Poplar Springs,Alabama,Winston,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,National Coal Of Alabama Inc,"1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,449055,73,207516
2011,103358,Old Union,Alabama,Winston,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242",,248368,41,93764
2011,5000030,Usibelli,Alaska,Yukon-Koyukuk,Western,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc,"P.O. Box 1000, Healy, AK 99743",Teamsters,2148926,136,331784
2011,201195,Kayenta Mine,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers of America,8110942,419,961579
2011,301736,Sebastian Mine,Arkansas,Sebastian,Interior,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,South Central Coal Co. Inc.,"P.O. Box 6, Spiro, OK 74959",,126628,67,186355
2011,504591,Bowie No 2 Mine,Colorado,Delta,Western,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Bowie Resources Llc,"P.O. Box 1488, Paonia, CO 81428",,2235055,306,657340
2011,503672,West Elk Mine,Colorado,Gunnison,Western,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","P.O. Box 591, Somerset, CO 81434",,5896402,368,824337
2011,504674,Elk Creek Mine,Colorado,Gunnison,Western,Active,Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434",,3007833,349,679998
2011,504864,King Ii,Colorado,La Plata,Western,Active,Underground,Indepedent Producer Operator,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326",,618132,70,161320
2011,502838,Trapper Mine,Colorado,Moffat,Western,Active,Surface,Indepedent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,2484106,189,396928
2011,502962,Colowyo Mine,Colorado,Moffat,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641",,2537904,262,498819
2011,500299,New Horizon Mine,Colorado,Montrose,Western,Active,Surface,Indepedent Producer Operator,Mine only,"Western Fuels-Colorado, Llc","P.O. Box 628, Nucla, CO 81424",United Mine Workers of America,360009,27,50571
